"CDB700-2","07-09-2022","Windows Server 2012 R2 Datacenter"
"QRM-49134CF642C","30-08-2022","Windows Server 2012 R2 Datacenter"
"CAP700-1","12-03-2021","Windows Server 2012 R2 Datacenter"
"CAP700-2","14-03-2021","Windows Server 2012 R2 Datacenter"
"CAP700-3","29-08-2022","Windows Server 2012 R2 Datacenter"
"CAP700-4","07-09-2022","Windows Server 2012 R2 Datacenter"
"CBI700-1","06-09-2022","Windows Server 2012 R2 Datacenter"
"CBI700-2","07-09-2022","Windows Server 2012 R2 Datacenter"
"CWS700-1","08-09-2022","Windows Server 2012 R2 Datacenter"
"CWS700-2","03-09-2022","Windows Server 2012 R2 Datacenter"
"PHV4501","07-09-2022","Windows Server 2019 Datacenter"
"PHV3801","19-01-2020","Windows Server 2012 R2 Standard"
"VMM0001","28-11-2021","Windows Server 2016 Datacenter"
"PHV0011","03-02-2020","Windows Server 2016 Datacenter"
"PHV0010","15-01-2020","Windows Server 2016 Datacenter"
"CAP1001","29-08-2022","Windows Server 2012 R2 Datacenter"
"CRD1001","05-09-2022","Windows Server 2012 R2 Datacenter"
"VFS4201","18-01-2020","Windows Server 2012 R2 Datacenter"
"CDR1001","05-09-2022","Windows Server 2012 R2 Datacenter"
"CDR1002","05-09-2022","Windows Server 2012 R2 Datacenter"
"CDG1002","27-08-2022","Windows Server 2012 R2 Datacenter"
"CDB1004","27-08-2022","Windows Server 2012 R2 Datacenter"
"CFS1001","30-08-2022","Windows Server 2012 R2 Datacenter"
"VFS0007","03-09-2022","Windows Server 2016 Datacenter"
"VPS0005","16-01-2020","Windows Server 2012 R2 Standard"
"VPS0006","04-02-2020","Windows Server 2008 R2 Enterprise"
"CPS1001","08-09-2022","Windows Server 2012 R2 Datacenter"
"CDB1002","30-08-2022","Windows Server 2012 R2 Datacenter"
"CAP1002","30-08-2022","Windows Server 2012 R2 Datacenter"
"CDB1003","05-09-2022","Windows Server 2012 R2 Datacenter"
"CFS1002","06-09-2022","Windows Server 2012 R2 Datacenter"
"CFS6003","06-12-2021","Windows Server 2012 R2 Datacenter"
"CWS1001","30-08-2022","Windows Server 2012 R2 Datacenter"
"CAP1004","08-09-2022","Windows Server 2012 R2 Datacenter"
"CMG1001","01-09-2022","Windows Server 2012 R2 Datacenter"
"CAP1006","30-08-2022","Windows Server 2012 R2 Datacenter"
"CAP900-1","06-09-2022","Windows Server 2012 R2 Datacenter"
"CDB900-1","07-09-2022","Windows Server 2012 R2 Datacenter"
"CAP900-2","30-08-2022","Windows Server 2012 R2 Datacenter"
"CAP900-3","30-08-2022","Windows Server 2012 R2 Datacenter"
"CMG1002","08-09-2022","Windows Server 2012 R2 Datacenter"
"VAP0188","11-05-2020","Windows Server 2016 Datacenter"
"VAP0190","17-01-2020","Windows Server 2016 Datacenter"
"VAP0191","18-01-2020","Windows Server 2016 Datacenter"
"VAP0192","08-05-2020","Windows Server 2016 Datacenter"
"VDB0020","06-05-2020","Windows Server 2016 Datacenter"
"VAP0193","21-01-2020","Windows Server 2016 Datacenter"
"CAP1007","30-08-2022","Windows Server 2012 R2 Datacenter"
"CAP1008","30-08-2022","Windows Server 2012 R2 Datacenter"
"CAP1009","20-07-2022","Windows Server 2012 R2 Datacenter"
"CAP1010","03-09-2022","Windows Server 2012 R2 Datacenter"
"VAP0070","08-02-2020","Windows Server 2008 R2 Enterprise"
"VFS2501","15-09-2021","Windows Server 2016 Datacenter"
"VAP0077","18-01-2020","Windows Server 2008 R2 Enterprise"
"VAP1080","02-09-2022","Windows Server 2012 R2 Datacenter"
"VAP0011","01-09-2022","Windows Server 2008 R2 Datacenter"
"VMG0004","03-09-2022","Windows Server 2016 Datacenter"
"CAP6016","06-09-2022","Windows Server 2016 Datacenter"
"CAP6017","04-09-2022","Windows Server 2016 Datacenter"
"CAP5014","31-08-2022","Windows Server 2016 Datacenter"
"VDS0114","13-01-2020","Windows Server 2012 R2 Standard"
"PHV0114","28-02-2021","Windows Server 2016 Datacenter"
"VDS4701","13-01-2020","Windows Server 2012 R2 Datacenter"
"CAP700-5","01-09-2022","Windows Server 2012 R2 Datacenter"
"CAP700-6","01-09-2022","Windows Server 2012 R2 Datacenter"
"CAP700-7","01-09-2022","Windows Server 2012 R2 Datacenter"
"CAP1011","05-09-2022","Windows Server 2012 R2 Datacenter"
"CAP700-8","06-09-2022","Windows Server 2012 R2 Datacenter"
"CAP6018","26-07-2022","Windows Server 2016 Datacenter"
"CAP6019","29-08-2022","Windows Server 2016 Datacenter"
"CAP6020","02-03-2021","Windows Server 2016 Datacenter"
"VAP0156","21-05-2021","Windows Server 2008 R2 Enterprise"
"VAP0160","23-09-2020","Windows Server 2012 R2 Standard"
"VAP0159","02-10-2020","Windows Server 2012 R2 Standard"
"VAP0057","07-09-2022","Windows Server 2008 R2 Enterprise"
"VAP0103","25-03-2020","Windows Server 2008 R2 Enterprise"
"VAP0089","31-03-2020","Windows Server 2008 R2 Enterprise"
"VAP0097","14-02-2020","Windows Server 2008 R2 Enterprise"
"VAP0106","14-02-2020","Windows Server 2008 R2 Enterprise"
"VAP0066","06-02-2020","Windows Server 2008 R2 Enterprise"
"VAP0108","21-01-2020","Windows Server 2008 R2 Enterprise"
"VAP0096","14-01-2020","Windows Server 2008 R2 Enterprise"
"VAP0104","25-01-2020","Windows Server 2008 R2 Enterprise"
"VAP0082","18-01-2020","Windows Server 2008 R2 Enterprise"
"VAP0095","20-01-2020","Windows Server 2008 R2 Enterprise"
"VAP0013","30-08-2022","Windows Server 2008 R2 Enterprise"
"VAP0110","14-02-2020","Windows Server 2008 R2 Enterprise"
"VAP0109","07-05-2020","Windows Server 2008 R2 Enterprise"
